Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14530819,2021-07-13 16:16:15,2021-05-15 08:13:48,3357535,1013975570,3357535,302,310,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530819/SRR14530819.lite.1,SRX10875519,HTP_10_13_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969159,SAMN19167890,simple,527639,wastewater metagenome,HTP_10_13_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,BD85DF880A5D13FC9F321EE414CB4E30,B3856586CF826F3BCDD15318DE876274
SRR14530812,2021-07-13 16:16:16,2021-05-15 08:13:16,3094229,934457158,3094229,302,285,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530812/SRR14530812.lite.1,SRX10875526,HTP_10_20_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969166,SAMN19167891,simple,527639,wastewater metagenome,HTP_10_20_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,F12B1688527CF8BE5692EC2D9EA0DD33,507D4318BDB8C929D7AA3610E7E4F696
SRR14530801,2021-07-13 16:16:16,2021-05-15 08:12:43,3477646,1050249092,3477646,302,322,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530801/SRR14530801.lite.1,SRX10875537,HTP_10_27_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969177,SAMN19167892,simple,527639,wastewater metagenome,HTP_10_27_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,76156690C3EFDCA696DC22E614933A8E,BEB0E9F763BA54811E966CD29C1FA167
SRR14530790,2021-07-13 16:16:16,2021-05-15 08:11:11,1901768,574333936,1901768,302,177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530790/SRR14530790.lite.1,SRX10875548,HTP_8_11_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969188,SAMN19167893,simple,527639,wastewater metagenome,HTP_8_11_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,653447E0CD13DDBC25A6054D8EA5A5DC,D34D937493703C849E2E4DDE828BA379
SRR14530779,2021-07-13 16:16:16,2021-05-15 08:11:53,3810545,1150784590,3810545,302,357,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530779/SRR14530779.lite.1,SRX10875559,HTP_8_18_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969199,SAMN19167894,simple,527639,wastewater metagenome,HTP_8_18_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,680BBC4051B187F7230E147AF7FC795F,5E5A54DFE6C085A4ABA86348049CE44E
SRR14530772,2021-07-13 16:16:16,2021-05-15 08:12:17,4595209,1387753118,4595209,302,463,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530772/SRR14530772.lite.1,SRX10875566,HTP_10_02_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969206,SAMN19167945,simple,527639,wastewater metagenome,HTP_10_02_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,FD2471237D541DA07CAAA3DAD0F5C77F,EC6511D6191E60AC34E8E506FADFCA65
SRR14530771,2021-07-13 16:16:17,2021-05-15 08:10:36,2179170,658109340,2179170,302,214,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530771/SRR14530771.lite.1,SRX10875567,HTP_10_13_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969207,SAMN19167946,simple,527639,wastewater metagenome,HTP_10_13_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,D04DFA08B3AAFE9E35F3A2C27B1394EB,16AC1372650DA6DD2A85A2912823671F
SRR14530770,2021-07-13 16:16:17,2021-05-15 08:11:52,4350744,1313924688,4350744,302,440,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530770/SRR14530770.lite.1,SRX10875568,HTP_10_20_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969208,SAMN19167947,simple,527639,wastewater metagenome,HTP_10_20_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,7E74ABCE93F08BD38E5E4D253E2CDA16,B6AF194B0BBEE29E761329E2D895F422
SRR14530769,2021-07-13 16:16:17,2021-05-15 08:11:23,4215471,1273072242,4215471,302,430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530769/SRR14530769.lite.1,SRX10875569,HTP_10_27_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969209,SAMN19167948,simple,527639,wastewater metagenome,HTP_10_27_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,8BD12CB7743C3C1978B540697BE6CF86,B75A758E3B530DF7C4921BD68590BAEB
SRR14530767,2021-07-13 16:16:17,2021-05-15 08:11:29,3318348,1002141096,3318348,302,338,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530767/SRR14530767.lite.1,SRX10875571,HTP_8_11_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969211,SAMN19167949,simple,527639,wastewater metagenome,HTP_8_11_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,14FE30EAE9ECE607E46DAB7D5C40BCF3,07D372520E50EEEE5E5DE366893BFF43
